"Nom de l'opérateur";"Millésime des données";"Énergie concernée";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"OPERATEUR";"ANNEE";"FILIERE";"IRIS_CODE";"IRIS_LIBELLE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";"secret";"secret"
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";"secret";"secret"
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";"secret";"secret"
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";"secret";"secret"
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";"secret";"secret"
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";"secret";"secret"
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";2330.79;
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";372.22;
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";855.93;
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";1864.67;
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";445.55;
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";241.01;
"Oyonnax Biochaleur";"2018";"C";"010310000";"Bellignat (commune non irisée)";"X";1561.05;
"Belena";"2018";"C";"010340102";"Centre et Est";"I";"secret";"secret"
"Belena";"2018";"C";"010340102";"Centre et Est";"A";"secret";"secret"
"Belena";"2018";"C";"010340102";"Centre et Est";"X";"secret";"secret"
"Belena";"2018";"C";"010340102";"Centre et Est";"R";2452;6
"Belena";"2018";"C";"010340102";"Centre et Est";"T";1828;4
"Belena";"2018";"C";"010340103";"Sud Ouest";"A";"secret";"secret"
"Belena";"2018";"C";"010340103";"Sud Ouest";"X";"secret";"secret"
"Belena";"2018";"C";"010340103";"Sud Ouest";"R";3433;8
"Belena";"2018";"C";"010340103";"Sud Ouest";"I";250;1
"Belena";"2018";"C";"010340103";"Sud Ouest";"T";2559;6
"Quartier de La Reyssouze";"2018";"C";"010530102";"Champ de Foire";"I";"secret";"secret"
"Quartier de La Reyssouze";"2018";"C";"010530102";"Champ de Foire";"A";"secret";"secret"
"Quartier de La Reyssouze";"2018";"C";"010530102";"Champ de Foire";"X";"secret";"secret"
"Quartier de La Reyssouze";"2018";"C";"010530102";"Champ de Foire";"R";1227;3
"Quartier de La Reyssouze";"2018";"C";"010530102";"Champ de Foire";"T";307;1
"Quartier de La Reyssouze";"2018";"C";"010530502";"Sardieres";"I";"secret";"secret"
"Quartier de La Reyssouze";"2018";"C";"010530502";"Sardieres";"A";"secret";"secret"
"Quartier de La Reyssouze";"2018";"C";"010530502";"Sardieres";"T";"secret";"secret"
