"index";"Nom de l'opérateur";"Millésime des données";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"Énergie concernée";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"ID";"OPERATEUR";"ANNEE";"IRIS_CODE";"IRIS_LIBELLE";"FILIERE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"0103C";"Oyonnax Biochaleur";"2020";"010310000";"Bellignat (commune non irisée)";"C";"X";5279.65;12
"0103C";"Oyonnax Biochaleur";"2020";"012830102";"ZUS Centre";"C";"X";9996.25;23
"0103C";"Oyonnax Biochaleur";"2020";"012830103";"ZUS Nord-Est";"C";"X";12053.59;23
"0103C";"Oyonnax Biochaleur";"2020";"012830104";"ZUS Ouest";"C";"X";7555.71;16
"0103C";"Oyonnax Biochaleur";"2020";"012830201";"Ville Sud";"C";"X";2019.05;7
"0103C";"Oyonnax Biochaleur";"2020";"012830202";"Ville Est";"C";"X";"secret";"secret"
"0103C";"Oyonnax Biochaleur";"2020";"012830301";"Ville Ouest";"C";"X";1333.49;5
"0106C";"Belena";"2020";"010340101";"Ouest";"C";"I";"secret";"secret"
"0106C";"Belena";"2020";"010340101";"Ouest";"C";"R";1299;3
"0106C";"Belena";"2020";"010340101";"Ouest";"C";"T";1409;4
"0106C";"Belena";"2020";"010340102";"Centre et Est";"C";"I";"secret";"secret"
"0106C";"Belena";"2020";"010340102";"Centre et Est";"C";"R";1082;3
"0106C";"Belena";"2020";"010340102";"Centre et Est";"C";"T";1175;3
"0106C";"Belena";"2020";"010340103";"Sud-Ouest";"C";"I";"secret";"secret"
"0106C";"Belena";"2020";"010340103";"Sud-Ouest";"C";"R";3464;9
"0106C";"Belena";"2020";"010340103";"Sud-Ouest";"C";"T";3758;10
"0108C";"LA VINAIGRERIE";"2020";"010530103";"Préfecture";"C";"R";376;2
"0108C";"LA VINAIGRERIE";"2020";"010530103";"Préfecture";"C";"T";1674;4
"0108C";"LA VINAIGRERIE";"2020";"010530201";"Citadelle";"C";"R";"secret";"secret"
"0108C";"LA VINAIGRERIE";"2020";"010530301";"Gare";"C";"R";322;2
"0108C";"LA VINAIGRERIE";"2020";"010530301";"Gare";"C";"T";1907;3
"0108C";"LA VINAIGRERIE";"2020";"010530302";"Brou";"C";"R";1308;4
"0108C";"LA VINAIGRERIE";"2020";"010530302";"Brou";"C";"T";5687;10
"0205C";"Réseau de Château Thierry";"2020";"021140000";"Brasles (commune non irisée)";"C";"R";1074;2
"0205C";"Réseau de Château Thierry";"2020";"021140000";"Brasles (commune non irisée)";"C";"T";722;1
"0205C";"Réseau de Château Thierry";"2020";"021680101";"Centre";"C";"R";716;1
"0205C";"Réseau de Château Thierry";"2020";"021680101";"Centre";"C";"T";482;1
"0205C";"Réseau de Château Thierry";"2020";"021680201";"Chesneaux";"C";"R";1432;2
"0205C";"Réseau de Château Thierry";"2020";"021680201";"Chesneaux";"C";"T";963;2
"0205C";"Réseau de Château Thierry";"2020";"021680501";"Vaucrises";"C";"R";2149;3
"0205C";"Réseau de Château Thierry";"2020";"021680501";"Vaucrises";"C";"T";1446;2
"0205C";"Réseau de Château Thierry";"2020";"021680601";"Gerbrois-Saint-Martin-Le Buisson-Vincelles";"C";"R";9670;15
"0205C";"Réseau de Château Thierry";"2020";"021680601";"Gerbrois-Saint-Martin-Le Buisson-Vincelles";"C";"T";6503;10
"0301C";"RÉSEAU SDC MOULINS";"2020";"031900107";"Quartier Sud Zone 1";"C";"R";5925.9;11
"0301C";"RÉSEAU SDC MOULINS";"2020";"031900107";"Quartier Sud Zone 1";"C";"T";364;4
"0301C";"RÉSEAU SDC MOULINS";"2020";"031900108";"Quartier Sud Zone 2";"C";"R";11801.9769014085;14
"0301C";"RÉSEAU SDC MOULINS";"2020";"031900108";"Quartier Sud Zone 2";"C";"T";2149;6
"0301C";"RÉSEAU SDC MOULINS";"2020";"033210106";"Zone Industrielle";"C";"R";3387;1
