"index";"Nom de l'op?rateur";"Mill?sime des donn?es";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"?nergie concern?e";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"ID";"OPERATEUR";"ANNEE";"IRIS_CODE";"IRIS_LIBELLE";"FILIERE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"0103C";"Oyonnax Biochaleur";"2022";"010310000";"Bellignat (commune non irisée)";"C";"X";5174;12
"0103C";"Oyonnax Biochaleur";"2022";"012830102";"ZUS Centre";"C";"X";9364;24
"0103C";"Oyonnax Biochaleur";"2022";"012830103";"ZUS Nord-Est";"C";"X";11290;23
"0103C";"Oyonnax Biochaleur";"2022";"012830104";"ZUS Ouest";"C";"X";9223;16
"0103C";"Oyonnax Biochaleur";"2022";"012830201";"Ville Sud";"C";"X";619;3
"0103C";"Oyonnax Biochaleur";"2022";"012830301";"Ville Ouest";"C";"X";3104;10
"0105C";"R?seau de saint-denis-les-bourg";"2022";"013440000";"Saint-Denis-lès-Bourg (commune non irisée)";"C";"X";1413.5640001297;13
"0106C";"Belena";"2022";"010340101";"Ouest";"C";"T";2503.95996093749;3
"0106C";"Belena";"2022";"010340102";"Centre et Est";"C";"R";2252.52198791504;7
"0106C";"Belena";"2022";"010340102";"Centre et Est";"C";"T";2254.62000274658;4
"0106C";"Belena";"2022";"010340103";"Sud-Ouest";"C";"I";204.694005966186;2
"0106C";"Belena";"2022";"010340103";"Sud-Ouest";"C";"R";4364.66610717773;9
"0106C";"Belena";"2022";"010340103";"Sud-Ouest";"C";"T";851.357004165647;7
"0108C";"LA VINAIGRERIE";"2022";"010530103";"Préfecture";"C";"nd";"nd";"nd"
"0108C";"LA VINAIGRERIE";"2022";"010530201";"Citadelle";"C";"nd";"nd";"nd"
"0108C";"LA VINAIGRERIE";"2022";"010530301";"Gare";"C";"nd";"nd";"nd"
"0108C";"LA VINAIGRERIE";"2022";"010530302";"Brou";"C";"nd";"nd";"nd"
"0110C";"R?seau de Bourg en Bresse ASSURC";"2022";"010530102";"Champ de Foire";"C";"nd";"nd";"nd"
"0110C";"R?seau de Bourg en Bresse ASSURC";"2022";"010530502";"Sardières";"C";"nd";"nd";"nd"
"0110C";"R?seau de Bourg en Bresse ASSURC";"2022";"010530503";"Croix Blanche";"C";"nd";"nd";"nd"
"0110C";"R?seau de Bourg en Bresse ASSURC";"2022";"010530601";"Pont des Chèvres";"C";"nd";"nd";"nd"
"0110C";"R?seau de Bourg en Bresse ASSURC";"2022";"010530602";"Reyssouze Ouest";"C";"nd";"nd";"nd"
"0110C";"R?seau de Bourg en Bresse ASSURC";"2022";"010530603";"Reyssouze Est";"C";"nd";"nd";"nd"
"0201C";"ZUP DU QUARTIER EUROPE";"2022";"025710000";"Omissy (commune non irisée)";"C";"nd";"nd";"nd"
"0201C";"ZUP DU QUARTIER EUROPE";"2022";"026910202";"Europe-Remicourt 2";"C";"nd";"nd";"nd"
"0201C";"ZUP DU QUARTIER EUROPE";"2022";"026910203";"Europe-Remicourt 3";"C";"nd";"nd";"nd"
"0201C";"ZUP DU QUARTIER EUROPE";"2022";"026910204";"Europe-Remicourt 4";"C";"nd";"nd";"nd"
"0201C";"ZUP DU QUARTIER EUROPE";"2022";"026910205";"Europe-Remicourt 5";"C";"nd";"nd";"nd"
"0201C";"ZUP DU QUARTIER EUROPE";"2022";"026910206";"Europe-Remicourt 6";"C";"nd";"nd";"nd"
"0201C";"ZUP DU QUARTIER EUROPE";"2022";"026910207";"Europe-Remicourt 7";"C";"nd";"nd";"nd"
"0201C";"ZUP DU QUARTIER EUROPE";"2022";"026910208";"Europe-Remicourt 8";"C";"nd";"nd";"nd"
"0201C";"ZUP DU QUARTIER EUROPE";"2022";"026910210";"Europe-Remicourt 10";"C";"nd";"nd";"nd"
"0202C";"ZUP des Presles";"2022";"027220101";"Presles 1";"C";"nd";"nd";"nd"
"0202C";"ZUP des Presles";"2022";"027220102";"Presles 2";"C";"nd";"nd";"nd"
"0202C";"ZUP des Presles";"2022";"027220103";"Presles 3";"C";"nd";"nd";"nd"
"0202C";"ZUP des Presles";"2022";"027220201";"Maupas";"C";"nd";"nd";"nd"
"0202C";"ZUP des Presles";"2022";"027220501";"Centre 1";"C";"nd";"nd";"nd"
"0202C";"ZUP des Presles";"2022";"027220601";"Chevreux";"C";"nd";"nd";"nd"
