"index";"Nom de l'opérateur";"Millésime des données";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"Energie concernée";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"ID";"OPERATEUR";"ANNEE";"IRIS";"IRIS_LIBELLE";"FILIERE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"0108C";"LA VINAIGRERIE";"2023";"010530103";"Préfecture";"C";"R";1929;4
"0108C";"LA VINAIGRERIE";"2023";"010530103";"Préfecture";"C";"T";2832;4
"0108C";"LA VINAIGRERIE";"2023";"010530201";"Citadelle";"C";"R";568;3
"0108C";"LA VINAIGRERIE";"2023";"010530201";"Citadelle";"C";"T";391;1
"0108C";"LA VINAIGRERIE";"2023";"010530301";"Gare";"C";"R";585;4
"0108C";"LA VINAIGRERIE";"2023";"010530301";"Gare";"C";"T";1810;4
"0108C";"LA VINAIGRERIE";"2023";"010530302";"Brou";"C";"R";1481;5
"0108C";"LA VINAIGRERIE";"2023";"010530302";"Brou";"C";"T";5203;11
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530102";"Champ de Foire";"C";"R";627;1
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530102";"Champ de Foire";"C";"T";391;3
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530502";"Sardières";"C";"R";1329;1
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530502";"Sardières";"C";"T";2312;2
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530503";"Croix Blanche";"C";"R";5021;12
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530503";"Croix Blanche";"C";"T";"secret";"secret"
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530601";"Pont des Chèvres";"C";"R";6611;16
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530601";"Pont des Chèvres";"C";"T";322;4
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530602";"Reyssouze Ouest";"C";"R";4574;9
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530602";"Reyssouze Ouest";"C";"T";1797;7
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530603";"Reyssouze Est";"C";"R";3703;18
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530603";"Reyssouze Est";"C";"T";936.562;6
"0301C";"RÉSEAU SDC MOULINS";"2023";"030130000";"Avermes";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"030130000";"Avermes";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900101";"Centre Historique";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900101";"Centre Historique";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900102";"Centre Moderne";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900102";"Centre Moderne";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900103";"Les Gâteaux";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900103";"Les Gâteaux";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900104";"Quartier Nord";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900105";"Decize Bourgogne";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900106";"Lyon Gare";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900106";"Lyon Gare";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900107";"Quartier Sud Zone 1";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900107";"Quartier Sud Zone 1";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900108";"Quartier Sud Zone 2";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900108";"Quartier Sud Zone 2";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"033210106";"Zone Industrielle";"C";"R";"nd";"nd"
"0506C";"Réseau de Briançon";"2023";"050230102";"Grande Boucle";"C";"R";2479.92;5
"0506C";"Réseau de Briançon";"2023";"050230102";"Grande Boucle";"C";"X";965.36;3
"0506C";"Réseau de Briançon";"2023";"050230103";"République-Sainte Catherine";"C";"R";1969.69;10
"0506C";"Réseau de Briançon";"2023";"050230103";"République-Sainte Catherine";"C";"T";333.35;2
"0506C";"Réseau de Briançon";"2023";"050230103";"République-Sainte Catherine";"C";"X";5182.72;16
"0506C";"Réseau de Briançon";"2023";"050230104";"Briançon Nord";"C";"R";961.55;7
"0506C";"Réseau de Briançon";"2023";"050230104";"Briançon Nord";"C";"X";6724.83;4
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190101";"Centre Ville";"C";"R";979;11
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190101";"Centre Ville";"C";"T";861;7
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190102";"Baza-Bois Vignal";"C";"R";5287.5;21
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190102";"Baza-Bois Vignal";"C";"T";1612;14
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190103";"Le Pont-Aubenas Est";"C";"I";332;2
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190103";"Le Pont-Aubenas Est";"C";"R";"secret";"secret"
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190103";"Le Pont-Aubenas Est";"C";"T";6705;16
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190104";"Les Oliviers";"C";"R";4009;21
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190104";"Les Oliviers";"C";"T";1444;8
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190105";"Le Cheylard-Aubenas Ouest";"C";"R";997;1
"1302C";"Réseau Castellane Bricarde";"2023";"132151001";"La Bricarde";"C";"R";"nd";"nd"
"1302C";"Réseau Castellane Bricarde";"2023";"132151002";"La Castellane";"C";"R";"nd";"nd"
"1302C";"Réseau de froid Thassalia Marseille";"2023";"132020401";"L'Évêché-Les Docks";"C";"T";"nd";"nd"
"1303C";"Zac des Canourgues";"2023";"131030102";"Pilon Blanc-Pavillon";"C";"X";"secret";"secret"
"1303C";"Zac des Canourgues";"2023";"131030105";"Saint-Norbert-Talagard";"C";"R";983.93;3
"1303C";"Zac des Canourgues";"2023";"131030105";"Saint-Norbert-Talagard";"C";"X";"secret";"secret"
"1303C";"Zac des Canourgues";"2023";"131030106";"Canourgues";"C";"R";9949.8;8
"1303C";"Zac des Canourgues";"2023";"131030106";"Canourgues";"C";"X";268.94;2
"1303C";"Zac des Canourgues";"2023";"131030107";"Les Jardins-Le Touret Sud";"C";"R";4105.22;7
"1303C";"Zac des Canourgues";"2023";"131030107";"Les Jardins-Le Touret Sud";"C";"X";"secret";"secret"
"1303C";"Zac des Canourgues";"2023";"131030108";"Vert Bocage-Pont d'Avignon";"C";"R";4231.1;2
"1303C";"Zac des Canourgues";"2023";"131030108";"Vert Bocage-Pont d'Avignon";"C";"X";1458.1;3
"1303C";"Zac des Canourgues";"2023";"131030112";"Les Viougues Ouest";"C";"X";5359.9;1
"1311C";"Zac Canto Perdrix";"2023";"130560114";"Saint-Macaire Plan Fossan";"C";"R";1715.63377380371;5
"1311C";"Zac Canto Perdrix";"2023";"130560114";"Saint-Macaire Plan Fossan";"C";"T";1132.36999511719;3
"1311C";"Zac Canto Perdrix";"2023";"130560115";"Figuerolles Touret de Vallier";"C";"R";1049.82653808594;2
"1311C";"Zac Canto Perdrix";"2023";"130560116";"La Colline";"C";"R";3171.78506469726;6
"1311C";"Zac Canto Perdrix";"2023";"130560117";"Canto-Perdrix";"C";"R";1702.50939941406;4
"1311C";"Zac Canto Perdrix";"2023";"130560117";"Canto-Perdrix";"C";"T";"secret";"secret"
"1311C";"Zac Canto Perdrix";"2023";"130560119";"Notre-Dame Paradis";"C";"R";3769.5;1
"1311C";"Zac Canto Perdrix";"2023";"130560119";"Notre-Dame Paradis";"C";"T";4729.05009460449;2
"1317C";"AIX-EN-PROVENCE";"2023";"130010102";"Cardeurs";"C";"T";"secret";"secret"
"1317C";"AIX-EN-PROVENCE";"2023";"130010202";"Couronne Nord";"C";"R";594.814205111737;5
"1317C";"AIX-EN-PROVENCE";"2023";"130010202";"Couronne Nord";"C";"T";510.565776742668;1
"1317C";"AIX-EN-PROVENCE";"2023";"130010204";"Couronne Sud";"C";"R";2529.48293368336;2
"1317C";"AIX-EN-PROVENCE";"2023";"130010204";"Couronne Sud";"C";"T";628.310568198234;2
"1317C";"AIX-EN-PROVENCE";"2023";"130010205";"Couronne Ouest partie nord";"C";"R";2287.49708641605;2
"1317C";"AIX-EN-PROVENCE";"2023";"130010205";"Couronne Ouest partie nord";"C";"T";2335.61004430394;5
"1317C";"AIX-EN-PROVENCE";"2023";"130010206";"Couronne Ouest partie sud";"C";"R";1140.90642755221;1
"1317C";"AIX-EN-PROVENCE";"2023";"130010206";"Couronne Ouest partie sud";"C";"T";532.896685467;1
